Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type
Maruti Swift,2019,42000,1,PETROL,DL-03,Manual,HatchBack
Hyundai Creta,2020,35000,1,DIESEL,KA-05,Manual,SUV
Tata Nexon,2021,18000,1,PETROL,WB-24,Manual,SUV
Honda City,2018,52000,2,PETROL,MH-12,Manual,Sedan
KIA SONET,2021,22000,1,DIESEL,GJ-02,Automatic,SUV
Toyota Innova,2017,78000,2,DIESEL,TS-08,Manual,Lux_SUV
Renault Kwid,2020,31000,1,PETROL,HR-26,Manual,HatchBack
Mahindra Scorpio,2019,45000,1,DIESEL,RJ-14,Manual,SUV
Ford EcoSport,2018,60000,2,PETROL,TN-22,Manual,SUV
Tata Tiago,2022,12000,1,PETROL,UP-16,Manual,HatchBack
